日期	区县	诊断	来源口径	计数
2022-04-02	黄浦	无症状	闭环	485
2022-04-02	黄浦	无症状	社会面	147
2022-04-02	静安	确诊	闭环	0
2022-04-02	静安	确诊	社会面	24
2022-04-02	静安	确诊	转诊	2
2022-04-02	静安	无症状	闭环	261
2022-04-02	静安	无症状	社会面	37
2022-04-02	徐汇	确诊	闭环	2
2022-04-02	徐汇	确诊	社会面	35
2022-04-02	徐汇	确诊	转诊	7
2022-04-02	徐汇	无症状	闭环	744
2022-04-02	徐汇	无症状	社会面	254
2022-04-02	长宁	确诊	闭环	0
2022-04-02	长宁	确诊	社会面	3
2022-04-02	长宁	确诊	转诊	4
2022-04-02	长宁	无症状	闭环	81
2022-04-02	长宁	无症状	社会面	12
2022-04-02	普陀	确诊	闭环	0
2022-04-02	普陀	确诊	社会面	35
2022-04-02	普陀	确诊	转诊	4
2022-04-02	普陀	无症状	闭环	290
2022-04-02	普陀	无症状	社会面	59
2022-04-02	虹口	确诊	闭环	1
2022-04-02	虹口	确诊	社会面	24
2022-04-02	虹口	确诊	转诊	5
2022-04-02	虹口	无症状	闭环	174
2022-04-02	虹口	无症状	社会面	138
2022-04-02	杨浦	确诊	闭环	0
2022-04-02	杨浦	确诊	社会面	16
2022-04-02	杨浦	确诊	转诊	3
2022-04-02	杨浦	无症状	闭环	233
2022-04-02	杨浦	无症状	社会面	22
2022-04-02	宝山	确诊	闭环	1
2022-04-02	宝山	确诊	社会面	28
2022-04-02	宝山	确诊	转诊	6
2022-04-02	宝山	无症状	闭环	396
2022-04-02	宝山	无症状	社会面	54
2022-04-02	闵行	确诊	闭环	0
2022-04-02	闵行	确诊	社会面	39
2022-04-02	闵行	确诊	转诊	16
2022-04-02	闵行	无症状	闭环	692
2022-04-02	闵行	无症状	社会面	82
2022-04-02	嘉定	确诊	闭环	3
2022-04-02	嘉定	确诊	社会面	18
2022-04-02	嘉定	确诊	转诊	5
2022-04-02	嘉定	无症状	闭环	536
2022-04-02	嘉定	无症状	社会面	55
2022-04-02	金山	确诊	闭环	0
2022-04-02	金山	确诊	社会面	0
2022-04-02	金山	确诊	转诊	0
2022-04-02	金山	无症状	闭环	60
2022-04-02	金山	无症状	社会面	0
2022-04-02	松江	确诊	闭环	1
2022-04-02	松江	确诊	社会面	3
2022-04-02	松江	确诊	转诊	4
2022-04-02	松江	无症状	闭环	548
2022-04-02	松江	无症状	社会面	11
2022-04-02	青浦	确诊	闭环	0
2022-04-02	青浦	确诊	社会面	3
2022-04-02	青浦	确诊	转诊	0
2022-04-02	青浦	无症状	闭环	192
2022-04-02	青浦	无症状	社会面	36
2022-04-02	奉贤	确诊	闭环	1
2022-04-02	奉贤	确诊	社会面	5
2022-04-02	奉贤	确诊	转诊	2
2022-04-02	奉贤	无症状	闭环	146
2022-04-02	奉贤	无症状	社会面	3
2022-04-02	崇明	确诊	闭环	0
2022-04-02	崇明	确诊	社会面	0
2022-04-02	崇明	确诊	转诊	3
2022-04-02	崇明	无症状	闭环	110
2022-04-02	崇明	无症状	社会面	0
2022-04-03	浦东	确诊	闭环	3
2022-04-03	浦东	确诊	社会面	126
2022-04-03	浦东	确诊	转诊	11
2022-04-03	浦东	无症状	闭环	3308
2022-04-03	浦东	无症状	社会面	206
2022-04-03	黄浦	确诊	闭环	1
2022-04-03	黄浦	确诊	社会面	10
2022-04-03	黄浦	确诊	转诊	3
2022-04-03	黄浦	无症状	闭环	773
2022-04-03	黄浦	无症状	社会面	37
2022-04-03	静安	确诊	闭环	1
2022-04-03	静安	确诊	社会面	25
2022-04-03	静安	确诊	转诊	3
2022-04-03	静安	无症状	闭环	264
2022-04-03	静安	无症状	社会面	45
2022-04-03	徐汇	确诊	闭环	0
2022-04-03	徐汇	确诊	社会面	27
